u2103	mihail-jp_gothic-u2103
u3000	u2423-fullwidth
u3005	mihail-jp_gothic-u3005
u3006	mihail-jp_gothic-u3006
u300e	mihail-jp_ming-u300e
u300f	mihail-jp_ming-u300f
u3042	mihail-jp_gothkana-u3042
u3044	mihail-jp_gothkana-u3044
u3046	mihail-jp_gothkana-u3046
u3048	mihail-jp_gothkana-u3048
u304a	mihail-jp_gothkana-u304a
u304b	mihail-jp_gothkana-u304b
u304d	mihail-jp_gothkana-u304d
u304f	mihail-jp_gothkana-u304f
u3051	mihail-jp_gothkana-u3051
u3053	mihail-jp_gothkana-u3053
u3055	mihail-jp_gothkana-u3055
u3057	mihail-jp_gothkana-u3057
u3059	mihail-jp_gothkana-u3059
u305b	mihail-jp_gothkana-u305b
u305d	mihail-jp_gothkana-u305d-var-001
u305f	mihail-jp_gothkana-u305f
u3061	mihail-jp_gothkana-u3061
u3064	mihail-jp_gothkana-u3064
u3066	mihail-jp_gothkana-u3066
u3068	mihail-jp_gothkana-u3068
u306a	mihail-jp_gothkana-u306a
u306b	mihail-jp_gothkana-u306b
u306c	mihail-jp_gothkana-u306c
u306d	mihail-jp_gothkana-u306d
u306e	mihail-jp_gothkana-u306e
u306f	mihail-jp_gothkana-u306f
u3072	mihail-jp_gothkana-u3072
u3075	mihail-jp_gothkana-u3075
u3078	mihail-jp_gothkana-u3078
u307b	mihail-jp_gothkana-u307b
u307e	mihail-jp_gothkana-u307e
u307f	mihail-jp_gothkana-u307f
u3080	mihail-jp_gothkana-u3080
u3081	mihail-jp_gothkana-u3081
u3082	mihail-jp_gothkana-u3082
u3084	mihail-jp_gothkana-u3084
u3086	mihail-jp_gothkana-u3086
u3088	mihail-jp_gothkana-u3088
u3089	mihail-jp_gothkana-u3089
u308a	mihail-jp_gothkana-u308a
u308b	mihail-jp_gothkana-u308b
u308c	mihail-jp_gothkana-u308c
u308d	mihail-jp_gothkana-u308d
u308f	mihail-jp_gothkana-u308f
u3090	mihail-jp_gothkana-u3090
u3091	mihail-jp_gothkana-u3091
u3092	mihail-jp_gothkana-u3092
u3093	mihail-jp_gothkana-u3093
u309a	mihail-jp_u309a-large
u309c	mihail-jp_u309c-large
u309d	mihail-jp_gothkana-u309d
u30a2	mihail-jp_mingkana-u30a2
u30a4	mihail-jp_mingkana-u30a4
u30a6	mihail-jp_mingkana-u30a6
u30a8	mihail-jp_mingkana-u30a8
u30aa	mihail-jp_mingkana-u30aa
u30ab	mihail-jp_mingkana-u30ab
u30ad	mihail-jp_mingkana-u30ad
u30af	mihail-jp_mingkana-u30af
u30b1	mihail-jp_mingkana-u30b1
u30b3	mihail-jp_mingkana-u30b3
u30b5	mihail-jp_mingkana-u30b5
u30b7	mihail-jp_mingkana-u30b7
u30b9	mihail-jp_mingkana-u30b9
u30bb	mihail-jp_mingkana-u30bb
u30bd	mihail-jp_mingkana-u30bd
u30bf	mihail-jp_mingkana-u30bf
u30c1	mihail-jp_mingkana-u30c1
u30c4	mihail-jp_mingkana-u30c4
u30c6	mihail-jp_mingkana-u30c6
u30c8	mihail-jp_mingkana-u30c8
u30ca	mihail-jp_mingkana-u30ca
u30cb	mihail-jp_mingkana-u30cb
u30cc	mihail-jp_mingkana-u30cc
u30cd	mihail-jp_mingkana-u30cd
u30ce	mihail-jp_mingkana-u30ce
u30cf	mihail-jp_mingkana-u30cf
u30d2	mihail-jp_mingkana-u30d2
u30d5	mihail-jp_mingkana-u30d5
u30d8	mihail-jp_mingkana-u30d8
u30db	mihail-jp_mingkana-u30db
u30de	mihail-jp_mingkana-u30de
u30df	mihail-jp_mingkana-u30df
u30e0	mihail-jp_mingkana-u30e0
u30e1	mihail-jp_mingkana-u30e1
u30e2	mihail-jp_mingkana-u30e2
u30e4	mihail-jp_mingkana-u30e4
u30e6	mihail-jp_mingkana-u30e6
u30e8	mihail-jp_mingkana-u30e8
u30e9	mihail-jp_mingkana-u30e9
u30ea	mihail-jp_mingkana-u30ea
u30eb	mihail-jp_mingkana-u30eb
u30ec	mihail-jp_mingkana-u30ec
u30ed	mihail-jp_mingkana-u30ed
u30ef	mihail-jp_mingkana-u30ef
u30f0	mihail-jp_mingkana-u30f0
u30f1	mihail-jp_mingkana-u30f1
u30f2	mihail-jp_mingkana-u30f2
u30f3	mihail-jp_mingkana-u30f3
u30fc	mihail-jp_gothkana-u30fc
u30fd	mihail-jp_mingkana-u30fd
uff06	mihail-jp_gothic-uff06
uff10	mihail-jp_gothic-uff10
uff11	mihail-jp_gothic-uff11
uff12	mihail-jp_gothic-uff12
uff13	mihail-jp_gothic-uff13
uff14	mihail-jp_gothic-uff14
uff15	mihail-jp_gothic-uff15
uff16	mihail-jp_gothic-uff16
uff17	mihail-jp_gothic-uff17
uff18	mihail-jp_gothic-uff18
uff19	mihail-jp_gothic-uff19
uff21	mihail-jp_gothic-uff21
uff22	mihail-jp_gothic-uff22
uff23	mihail-jp_gothic-uff23
uff24	mihail-jp_gothic-uff24
uff25	mihail-jp_gothic-uff25
uff26	mihail-jp_gothic-uff26
uff27	mihail-jp_gothic-uff27
uff28	mihail-jp_gothic-uff28
uff29	mihail-jp_gothic-uff29
uff2a	mihail-jp_gothic-uff2a
uff2b	mihail-jp_gothic-uff2b
uff2c	mihail-jp_gothic-uff2c
uff2d	mihail-jp_gothic-uff2d
uff2e	mihail-jp_gothic-uff2e
uff2f	mihail-jp_gothic-uff2f
uff30	mihail-jp_gothic-uff30
uff31	mihail-jp_gothic-uff31
uff32	mihail-jp_gothic-uff32
uff33	mihail-jp_gothic-uff33
uff34	mihail-jp_gothic-uff34
uff35	mihail-jp_gothic-uff35
uff36	mihail-jp_gothic-uff36
uff37	mihail-jp_gothic-uff37
uff38	mihail-jp_gothic-uff38
uff39	mihail-jp_gothic-uff39
uff3a	mihail-jp_gothic-uff3a
uff41	mihail-jp_gothic-uff41
uff42	mihail-jp_gothic-uff42
uff43	mihail-jp_gothic-uff43
uff44	mihail-jp_gothic-uff44
uff45	mihail-jp_gothic-uff45
uff46	mihail-jp_gothic-uff46
uff47	mihail-jp_gothic-uff47
uff48	mihail-jp_gothic-uff48
uff49	mihail-jp_gothic-uff49
uff4a	mihail-jp_gothic-uff4a
uff4b	mihail-jp_gothic-uff4b
uff4c	mihail-jp_gothic-uff4c
uff4d	mihail-jp_gothic-uff4d
uff4e	mihail-jp_gothic-uff4e
uff4f	mihail-jp_gothic-uff4f
uff50	mihail-jp_gothic-uff50
uff51	mihail-jp_gothic-uff51
uff52	mihail-jp_gothic-uff52
uff53	mihail-jp_gothic-uff53
uff54	mihail-jp_gothic-uff54
uff55	mihail-jp_gothic-uff55
uff56	mihail-jp_gothic-uff56
uff57	mihail-jp_gothic-uff57
uff58	mihail-jp_gothic-uff58
uff59	mihail-jp_gothic-uff59
uff5a	mihail-jp_gothic-uff5a
uffe5	mihail-jp_gothic-uffe5
